# Generated 2020-05-22 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2020-05-21, "elf gafgyt Mozi", "http://115.193.6.1:38339/Mozi.m", 9a111588a7db15b796421bd13a949cd4, 034c8c51a58be11ca620ce3eb0d43d5a59275d2f, e15e93db3ce3a8a22adb4b18e0e37b93f39c495e4a97008f9b1a9a42e1fac2b0, 1536:pymLLU1F5kHIrIj0D6rhfd+lK3exiTCzxNtI4sZLi6UEbFEBFaW1EH6t6wfPP/Q:2F+ooxalK3exiTOijZLdUEbFlWPP/Q,"366250.bin.TMP", Linux executable (ELF), 95268 bytes, -, -
2020-05-21, "elf hajime", "http://221.232.180.78:39143/.i", 9b6c3518a91d23ed77504b5416bfb5b3, 0a2d170abbf5031566377b01431e3b82d342630a, a04ac6d98ad989312783d4fe3456c53730b212c79a426fb215708b6c6daa3de3, 1536:87vbq1lGAXSEYQjbChaAU2yU23M51DjZgSQAvcYkFtZTjzBht5:8D+CAXFYQChaAUk5ljnQssL,"366196.bin.TMP", Linux executable (ELF), 80280 bytes, -, -
2020-05-21, "elf hajime", "http://81.44.52.42:31976/.i", 9b6c3518a91d23ed77504b5416bfb5b3, 0a2d170abbf5031566377b01431e3b82d342630a, a04ac6d98ad989312783d4fe3456c53730b212c79a426fb215708b6c6daa3de3, 1536:87vbq1lGAXSEYQjbChaAU2yU23M51DjZgSQAvcYkFtZTjzBht5:8D+CAXFYQChaAUk5ljnQssL,"366126.bin.TMP", Linux executable (ELF), 80280 bytes, -, -
2020-05-21, "elf kinsing", "http://217.12.223.51/kinsing", a71ad3167f9402d8c5388910862b16ae, 42dc7206e1b10684b5a3a76251788c65460ad3a6, d247687e9bdb8c4189ac54d10efd29aee12ca2af78b94a693113f382619a175b, 98304:fF0eXNNm/p9epaDRzLtZMWjvNnueZ8xD0/i:fFbXbm/p9epaDRzLvMWrNnuZ,"366317.bin.TMP", Linux executable (ELF), 16687104 bytes, -, -
2020-05-21, "elf mirai", "http://45.95.168.92/bns/gang123isgodloluaintgettingthesebinslikedammwtf.arm7", ed7dfee6651f049da50d77d7a8ee61f6, 44ba217770662cea3259958c7edea514d147d4d0, cb066867a1f89b5259948a39bec30a46dece6ab1f32f412cc7c069ca685491c0, 1536:CM6A0Y6wggbL6DCgz7P7BWy4LpEyT1GaBy21TNA:mxwgKLAC0r7gzLuyT1xs2VN,"366277.bin.TMP", Linux executable (ELF), 50800 bytes, -, -
2020-05-21, "elf mirai", "http://45.95.168.92/bns/gang123isgodloluaintgettingthesebinslikedammwtf.m68k", eca809036b4e33b56cdf754e7a47080f, 2f7b5c330c39d81fd45cb74a2f7d4019ab196de6, 0cb7d0151181900ede695f3aad8455aade89f7bbf32e3655ad86d1e77cd0d1f5, 1536:SCIDy1ka41+AZ3IB8Ok/zAZunbGpjcL2M:SCIDHae+AZ4U/Bbocx,"366272.bin.TMP", Linux executable (ELF), 72324 bytes, -, -
2020-05-21, "elf mirai", "http://45.95.168.92/bns/gang123isgodloluaintgettingthesebinslikedammwtf.ppc", e511a7b2c26ba7b1c508e77573de9300, f40d87cac9ce044e0a3366496e26c2af26a19984, fb1e24419452d1dd766b58a58844f1e006b61f7f05d266d890f32e6856f23839, 768:ZcM3+VHuQYRPbMlxkSC1yHyx4cDzPH//1ZQVK8uGFzaA9HHteKnsbmqpr4sGpMk1:2w+fYYC1yHyau3/Sx9KpEsfkIiwDQX02,"366279.bin.TMP", Linux executable (ELF), 70744 bytes, -, -
2020-05-21, "elf", "http://98.159.99.235/443", 2ef27aea280833a7ce52643334b2fb4d, d0744a0da414a2d886a10b892daf301108760f5e, 925f649617743f0640bdfff4b6b664b9e12761b0e24bbb99ca72740545087ad2, 12288:FBXOvdwV1/n/dQFhWlH/c1dHo4h9L+zNZrrGT6yF8EEP4UlUuTh1AG:FBXmkN/+Fhu/Qo4h9L+zNNGBVEBl/91h,"366152.bin.TMP", Linux executable (ELF), 625867 bytes, -, -
2020-05-21, "elf", "http://98.159.99.235/53", 9a79419a06f1a4ea22891b2a2ee24026, 2d71b0b40aa1af713ff502031106910765d453ac, 4c4722835148242c701d93479eca3f45ccdf45bfc5445bd57ff3ee7c49e64672, 12288:FBXOvdwV1/n/dQFhWlH/c1dHo4h9L+zNZrr/T6yF8EEP4UlUuTh1AG:FBXmkN/+Fhu/Qo4h9L+zNN/BVEBl/91h,"366268.bin.TMP", Linux executable (ELF), 625867 bytes, -, -
2020-05-21, "elf", "http://98.159.99.248/443", 2ef27aea280833a7ce52643334b2fb4d, d0744a0da414a2d886a10b892daf301108760f5e, 925f649617743f0640bdfff4b6b664b9e12761b0e24bbb99ca72740545087ad2, 12288:FBXOvdwV1/n/dQFhWlH/c1dHo4h9L+zNZrrGT6yF8EEP4UlUuTh1AG:FBXmkN/+Fhu/Qo4h9L+zNNGBVEBl/91h,"365721.bin.TMP", Linux executable (ELF), 625867 bytes, -, -
2020-05-21, "exe Formbook", "https://brightway919.com/order/21.05.20.exe", f52fa6b46e18756457cce1d840122bf9, 43d67231c962ac8c32788c52a5271a7f4cd47ffd, 469135103d8ac053415dc4598dcbd884f759dc58af50dc9efbe94d2991a133ea, 6144:R63e53HHeUsLitIEJD6LpVK/qOQ0ebCJJPF8pQ4oU5Fa:R63eJnejEt6TEqOgbkPFfN,"365979.bin.TMP", Windows executable (MZ), 425472 bytes, nh:2c1940c240d7109c35c6a5ccaeb766ec, mh:cfed556ddc03da5fd99885be63917ccd
