# Generated 2021-01-31 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2021-01-31, "elf", "http://13.127.78.122:58687/slaves/hinatasocute.sh4", a527bba25d32d768f14ce07bef5542d8, 1171d7db14a46f48d0ec275e1b991db30a1923a6, 46a60f325020567344f6351fd9a182c86cc6fe590e78af140d4296fee0ef33b1, 1536:gaWbdYbWFZdwtHwcNcn/6Yc/Nb7fTexeSNC79:gP+bWfdbyTTUeSN,"985510.bin.TMP", Linux executable (ELF), 66976 bytes, -, -
2021-01-31, "elf", "http://13.127.78.122:58687/slaves/hinatasocute.x86", 65fc870334f4d07f72e646883b1d60e7, 9b62011699d8a74d965f053edc1881e0f3227be5, f485e350b2f777bdb19f2aa740f8b1399609a7f25143df62751974c0cf6195d1, 1536:mX23TSwlS4keBfrtOVqlQzYnnmKBPK3EyYEWoHnt05SFEio:1jSwY4keBfrtOCQsnnFOaENN05Q3,"985513.bin.TMP", Linux executable (ELF), 66320 bytes, -, -
2021-01-31, "elf", "http://157.230.254.252/z0l1mxjm4mdl4jjfjf7sb2vdmv/KKveTTgaAAsecNNaaaa.arm", 473c3b935a958a6eb16a3fac350618d1, d8bf4481cfe42b107ad52ff9bdf0428ca32a46f6, 0680fac68236f7f999498b402bbf796a9da40226ce3ce8c47a1ac8dfdf048c2c, 1536:bZ4ZLO7YQ010oQJ6sZad7jL1B8t46eTmuRJCF:bZ4k7L0l7nn84JTBRJC,"985022.bin.TMP", Linux executable (ELF), 70652 bytes, -, -
2021-01-31, "elf", "http://157.230.254.252/z0l1mxjm4mdl4jjfjf7sb2vdmv/KKveTTgaAAsecNNaaaa.arm7", 0bf4a9b997e2277fc82c2cf0c454b0c5, 692848d27bbeb95bd84314a069b3ef651405a33f, 85d8dd03726a408414415ff672865fc8fe0ac9eba136793fec35b43785ea1bfd, 3072:fib6kNRkmUk1JYqN4HjC0FOq/36IQFPaXWZ2M/9o/r:GXRJUk/eC0FOq/KI8aX9M/9o/r,"985023.bin.TMP", Linux executable (ELF), 144103 bytes, -, -
2021-01-31, "elf", "http://176.123.3.54/d/xd.arm", dc505578b8a9805a6e7c7f7bf0050e6e, 1780f2c0a361417bfbbba9dde780cae21bc5faa4, d038605c2968de07371da47e84cb02a367e65b5928df21f4bb3d31116b589813, 768:6A4uBc0T/nVvqV072G+IFYoXHZCx3Gd6s3Uozk:6PuB7/nVMYn+Kf5/3zk,"985485.bin.TMP", Linux executable (ELF), 29944 bytes, -, -
2021-01-31, "elf", "http://176.123.3.54/d/xd.arm5", fea491f5aca37b43376189490ac2c03b, 7cd54dfc3cb24eb23283a0407ce99894be24ec6b, ce68d4c8e6722e116d02238f8c7749dd68670b099a787eecfc017a5d3015f548, 768:nRSa8ZS/L6rze3OXrFKg9KZrqoDu24s3UozYp:RSjFJXZBCJDu2tzO,"985488.bin.TMP", Linux executable (ELF), 26284 bytes, -, -
2021-01-31, "elf", "http://176.123.3.54/d/xd.arm6", 6ceb897af96497d35b54047103eba0c5, d4081bd3d7dab6a41fe5fab861046e6cf1a97706, 5577038189ead8b504a929af19f8da9e7cc8716fa184dda7a73d4daa23c8c8d7, 768:VYVgAxkU1RHz5poClGL1aMnXha7WBNoWhSxHjR9q3UELCu:VYyAxdRH9zILLBBrodjELh,"985492.bin.TMP", Linux executable (ELF), 34484 bytes, -, -
2021-01-31, "elf", "http://176.123.3.54/d/xd.arm7", 9f5859e50a423674bb46a981811fcb2e, bce725ea16518a2d46859d5e74f0c85554ed83b9, a5080122b5e45924a894542468387758f767ec68964fd9e5569b1cac5b4498ea, 768:yMte5B4PACtw/YcmRIe18D9q63TxZQbSORe7Su2QJnKE79TLrRP9q3UELbOs8qMi:yM84ISRX63dZQbS5rzZR+LIVmWj+,"985491.bin.TMP", Linux executable (ELF), 53620 bytes, -, -
2021-01-31, "elf", "http://176.123.3.54/d/xd.m68k", f814cb8b7f52840edc130eac0447aba1, a0adb32b51fba451c83da0b2585ad7b5a3e8bd7f, 50e445c0a6bc334f85ee99557c8663f63efcacb1560ea34f2e3367a3e31c7890, 768:oaXTrofl4ghoueg2me2nPQCHEM/ArPwqLWHm2T6oxol7gSu9+f1prtkOU0eViM:oaKdhoRg2mew4ChAVLD57gSyg1pRr/M,"985493.bin.TMP", Linux executable (ELF), 52820 bytes, -, -
2021-01-31, "elf", "http://176.123.3.54/d/xd.mips", c116d78e8d026d2e1bfbceff84a3c345, b55efc791d6773d6f21f681c959288015b6be233, f0a13fff3571b85c8b9ea4126baab9fc5f72689f30472cf866be689d0682a36c, 768:dyvYLznDEB2iC+sDqC6NtxsfzxPnNsGbPXIJgGlzDpbuR1Jf:4YnnDEBI+smATfgVJuV,"985495.bin.TMP", Linux executable (ELF), 30840 bytes, -, -
