# Generated 2020-12-27 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2020-12-26, "dll", "http://shgsqfdzin.ru/cuda", 25feb68d0b1bdf129321b87c21cddbf6, 39c2f1004a7a60a1fb8f108ac162c1bb863a472b, 20faac5510ba588710ea8c02723f8efee1971f1f741c4965eb375f131ef86280, 98304:z6RUHCo/F1LfAmi4QeezDIqqtmu9fDorOtFkd3p+COND9hrcS+yf3EHj+lnI:GRMdniLnv13afKn3p+CONxtcS+y8D+,"942360.bin.TMP", Windows executable (MZ), 5000704 bytes, rh:1fa8cdf31ce180d098b92036980218bb, mh:1fbc3f380b587e411d0aeda7a7827757
2020-12-26, "dll", "http://shgsqfdzin.ru/nvrtc", 0a0a463e17af03587bc9d89f6aed9ed1, 6b1ee56cb6715d8957f29aa8c5c240742903de43, f31590f06c271ddfd97e47db12454e61151d241ef0b83679eed3cfe22310d032, 6144:uTOSa9v4YPz6C4B6D83iGxZJgfABQm8202Sb:d473G,"942359.bin.TMP", Windows executable (MZ), 4431360 bytes, rh:be5aaceba30f868a835a6dc2f0654ec4, -
2020-12-26, "dll", "http://shgsqfdzin.ru/nvrtc64", 684763488ba9fe2b944963157e432817, a9ca954f3c04b679597a783e9176ea9a2cfb8832, 8f1f9491efaf9890a6e2c8ce0b8479c97fa9519e5b977da66b1ef605c3cbc840, 98304:5h/8BnkEBIwBV/tMkvkLxdbP87zwgc8BfcQCOSy6aNp0A7i/RQgXm:7/8F+wz/fcDD+z/PfcJHWNahRRX,"942358.bin.TMP", Windows executable (MZ), 5786112 bytes, rh:7a23b952a4691f6c8fc3039a4a4d691d, mh:b367adde83a059db4fabc3222a0779cc
2020-12-26, "doc", "https://ucf8d881a1c65e2d13abf3397a44.dl.dropboxusercontent.com/cd/0/get/BF1RD2jah6t6Alv_uIxeNY_jLtu_x27zREUp_uMzoCjzGU4wKUvrsq_zE1LTZEsTi0iNlqTXnujqbcgZUuijC9teJhZYnVgTf_N_DTAamchrQ1rx4-WRRbl_zjxuwPSpxwo/file?dl=1/", 95b84056307e9bb65525e4a8195a6d14, 995ea87e2dc37094309bade6361b4d4dabebbe06, 047fa1f35ea828a977857fd95e1a597a0788787b96c0f4e42545ab33b69e7ab3, 6144:U340Kb22vZIKNuvWzVs5cM2i/MYlCa/L7hHq3KUsV9K+FVGYFyjE:UoI2OvN3lpRHqjYFyjE,"942610.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 429056 bytes, -, -
2020-12-26, "elf gafgyt", "http://158.69.0.77/fuckjewishpeople.arm4", 13d3c05b8f5fe14d97833fc1bca4a3df, 9566a95aca4c166412991a6379e06fe53bdab00f, e059f8046f6a3658a82991e704c1f519cb41975a38df703234261beb4a31bf6e, 3072:7e9h9oZq5hvFfKufS2faYj0+rQ0Knm4XATe:y9wZq5hNfKfpYj0+rQ0Knm4XATe,"942558.bin.TMP", Linux executable (ELF), 103862 bytes, -, -
2020-12-26, "elf gafgyt", "http://158.69.0.77/fuckjewishpeople.arm5", c3beb015f7bc053cb032c2149bc4d1c5, b4c0f92e2f4b50fd2c36f14263ff9b3d214e2fee, c6d3c393ef6e88daca8282f73e212d2563f32486db42df8d83b26a11f7027816, 1536:ZvgGLI1gX3JGQxPuwjxtOZyo5hXNKV6T/Fo2kjvVqQEqn/lJXCPe:tIHQjjs5hXNKV6T/cjvVqQEqn9JXCPe,"942559.bin.TMP", Linux executable (ELF), 96620 bytes, -, -
2020-12-26, "elf gafgyt", "http://158.69.0.77/fuckjewishpeople.arm6", 83783deee231cd4417279b56d201adbe, 94931726ee9db171f50123726333d77355504780, d73ef135402c810ec14b724d9bae44584320113186488e0e0e43a3c129c64374, 3072:idwracAAviNmLpMQ1xA5hKHKSrbqlAdmyDQUJ1UX4Tn:SwraFgikxA5hKHKnlAdmyDQUJ1a4Tn,"942560.bin.TMP", Linux executable (ELF), 118932 bytes, -, -
2020-12-26, "elf gafgyt", "http://158.69.0.77/fuckjewishpeople.arm7", 3c965f524f667ca6e385b0e1e7ae91a3, 240d67ec192cdc365524d206748ef4b528486f95, 832422a2e0b305a128e893c851ffe240bfc1c44a609af731f3770f8d256398c5, 3072:tdntU2haO5H1XacBoGmh9H505hDiGRvEM/9f9T637m5wTsL/Qpyn:ntVhaO5H1qEc9H+5hDiGRcM/9l+7m5wS,"942562.bin.TMP", Linux executable (ELF), 156296 bytes, -, -
2020-12-26, "elf gafgyt", "http://158.69.0.77/fuckjewishpeople.mips", 99be4225f1fea320a4a305229256e32c, ad806a7e1334d1bf3b6c02712e430afc951aeb3a, 81bd97c17f886fac7e47bec0daed4339c6dc588e979f4ae6fa7f091fcb728479, 3072:C/4g3Kd1r45hZmxgA9OKdwwjF9GhsR1Ae:O9an45hZLHKdwwjF9GhsR1Ae,"942561.bin.TMP", Linux executable (ELF), 116503 bytes, -, -
2020-12-26, "elf gafgyt", "http://158.69.0.77/fuckjewishpeople.mpsl", fc0635aa00c1787439115254b8e4e466, 1b8411aa7ee3211c9b42d1095a87c7225f2fab62, f3235764d7fe21df43eeffd3960b5a2899f68669a8e9af4b53f486aec321d305, 1536:Tgz/qzNLW/fMiZIX98U0I/QwErQNOE5hVwbfKdwwjF9GhCPR1Ae:Tgz/5f5g8utgA5hVwjKdwwjF9GhsR1Ae,"942565.bin.TMP", Linux executable (ELF), 116647 bytes, -, -
2020-12-26, "elf gafgyt", "http://158.69.0.77/fuckjewishpeople.ppc", 4dcdc034aebcf62447c649e71961ce7b, d29f792125e94ee755486d70b027b12a585468c4, 71a64eff05598c8d08d9598c592f18cd6b3aa49ffd725e4c7b89c6d0a7cefc4b, 1536:T3oCu/OcwUBvPsTbwHH3P6zMSIHsiO6aRv/lz595hLg6wOFO6V6qDjjofSee:T43/qUBvPs6X03IHsi2/55hL7wOFO6Vt,"942563.bin.TMP", Linux executable (ELF), 92720 bytes, -, -
