# Generated 2020-11-25 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2020-11-25, "elf gafgyt", "http://188.165.58.128:8899/a-r.m-7.RAZA", 209e3f1c5f5bdc2edf93c3a391c86e66, f8ccde41d4ecdb9f5ea2ca27259f22c1033c6a5d, 348846420f1a24df73734084423b90cff129384f0601a07402030c3f5c4ad027, 1536:EQpFOADppqlDZHWwc31dW3ISvRd46q3drhEmQ9VqXjtWf2Xe:ESVDu1Hc31dW3F9qNtEmQ9VqXBWf2Xe,"851618.bin.TMP", Linux executable (ELF), 88786 bytes, -, -
2020-11-25, "elf gafgyt", "http://188.165.58.128:8899/i-5.8-6.RAZA", 1bfc4a1e2623f864df809a66779bd4df, 69eae1051efa31ebdd3510fc51bf90fe3498efe2, a20a95e1a673bbe2af1af16af13f47ff60be9ee7199b22ac1b484f268f7b908c, 1536:kOlx21Sh8LrjAGJ0+QmiaGEe4V987DtgiyrugWK8fsTmQ9VqXjewf2Le:z321SWrBJpTZo7RgiyruLCmQ9VqXywfx,"851614.bin.TMP", Linux executable (ELF), 93257 bytes, -, -
2020-11-25, "elf gafgyt", "http://188.165.58.128:8899/m-6.8-k.RAZA", 42e8867eb96f8045217ab008bd97d972, e4fc683fca7c5a3a7bb99624b00fe130f74a9e8f, 2c04e623c6a3715da6dfc36c4d539d96ae147e711d241f7d479ba9b117ce7ba8, 3072:LrbFJCact1nLNCn4IP9S6Afnc///M/9dcWVMXOmpwfvRQfZn:LrbXCact1npCB9Shfn4nM/92WVMXOmpf,"851619.bin.TMP", Linux executable (ELF), 152703 bytes, -, -
2020-11-25, "elf gafgyt", "http://188.165.58.128:8899/m-i.p-s.RAZA", bee23aed2450184b13d11ad0f8d6b3ce, 7767ee800cfe2f5fab85d3b4941518ef7d7c2cdd, 8d8b13579be1ffd017a7fdb4643a33c2d676bc416a7a6aae10e27334f2997576, 1536:P7ju1Tepq+XLYh2rKVneDLNTTeTUdAOuirmJrStUmkiSFxfC7xbXe:WsQiLNTryOuiarStUmkiSFxfKxbXe,"851624.bin.TMP", Linux executable (ELF), 117385 bytes, -, -
2020-11-25, "elf gafgyt", "http://188.165.58.128:8899/m-p.s-l.RAZA", 1db5c1d393dca1ae876a8d5a2d316c9b, e0d9977439ee6460f3a6596bbad42b63d1f8c827, 5311becd1a90b1502ef534c94eb74b1a50ae38fc85c9098bd0ce20d8534614d9, 1536:ZLeT8AhSgCSkSHMwKJrZkhzw4dI6vwgck1W2zfgB4UmkiSFxfC7xbXe:ZKkSHpKJr6fvw1UYKUmkiSFxfKxbXe,"851617.bin.TMP", Linux executable (ELF), 117385 bytes, -, -
2020-11-25, "elf gafgyt", "http://188.165.58.128:8899/p-p.c-.RAZA", 421561f42dc249d23c643faeb98ec152, d92af492de7e95df798cb4be2f0e71af8ac69da1, 4e1fd76760ab37e69991767a47e6b7381b7578d0936a5c4e185a9730c64373fd, 3072:s4OJYQTfYI9nPnuuEZFKmCVrQAFiOXkYe:CJYQUI9nPeKmCVrQAFiOXkYe,"851620.bin.TMP", Linux executable (ELF), 99992 bytes, -, -
2020-11-25, "elf gafgyt", "http://188.165.58.128:8899/s-h.4-.RAZA", 2d74be45d152008759f00f4cfa96552d, 6e9b8eec8a69eeea681fd33ab450192c47aeb3f8, 5a95e657ad4973296f3e3270ce80c8c43841f99ca6d681bba5be0ef8e8b09adb, 1536:WPM0nfJMKoe1tO8bfL0aiNa4CI1dBmj9VqYLe8f26e:eHRToqbfIu47Nmj9VqYq8f26e,"851615.bin.TMP", Linux executable (ELF), 80431 bytes, -, -
2020-11-25, "elf gafgyt", "http://188.165.58.128:8899/x-3.2-.RAZA", 9662438b0037c3ed75ca74aeb4bf7987, de136d657976506880eaf214e3e5bd7bf1261adf, 47bab3612171e20310d2e0299a40080e9ba533061d12065a49155b92c614749a, 1536:xTqiVwv/WXKG01KNw7XsCtGV+7joncmLI2VOCjXUfJRk:YiVwG6ZKNw7sCQO7mU2VOCbUfJRk,"851616.bin.TMP", Linux executable (ELF), 76737 bytes, -, -
2020-11-25, "elf gafgyt", "http://192.3.163.44/Demon.arm4", 3eb798b41802c807c43a4de134e8dd85, 28d8473fd6651cdf46402270d1771bf069bf8fdc, 9d81777b30bf992aeea6a89051954327725959ef23a417afabcee6a8625cea16, 1536:HzDBmIByJZIlhOPx5O8vQTsGYP+CvZUOStVNXLqZ1mkgmQAE+dAXDfj:H1BSZPjQkBZUO2WLmkgmQAEUAXDfj,"851714.bin.TMP", Linux executable (ELF), 91819 bytes, -, -
2020-11-25, "elf gafgyt", "http://192.3.163.44/Demon.arm5", e6583ca5fdc1fceabe554276df351be9, d517f8f6c375bdb40ca11056c4cbcfbd411aba8c, 46cdf6aa59b3d79c20ca2686d0756639f89b283b819c722071e630b4c3e702e7, 1536:2TxGIBAIxQJ8x5OEVBvFB3n198OYSUmZhBQ4Kb3RXFFj:WBa8hBb3j8OY5mZhBQ4KjRXFFj,"851719.bin.TMP", Linux executable (ELF), 85249 bytes, -, -
