# Generated 2020-09-18 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2020-09-18, "bashlite elf gafgyt", "http://107.189.11.54/Skie_sh4", 06317391b68413a6ba2f8fcbd38b16eb, 86fa3d14f2064c09d8e45518450fb17736ee8772, 258f47fa0cc6bb27210e74ec1d23b398c78f9cfc9ded5dbab14123ad75c0f0eb, 384:lBO3Kh6pex/XYgIbh5+DcoRZtb//qBo6RumRwfK5HSS2jK0DIt0gW6B:lMExx/jDcoRZtD/OTGi5Bngc,"550337.bin.TMP", Linux executable (ELF), 28764 bytes, -, -
2020-09-18, "bashlite elf gafgyt", "http://167.172.187.116/x-3.2-.GHOUL", a18f8a363799774bc1d8ae607983b354, a88a8f0af8d9876f0e6817bf3250ac575c61ba8a, ace85b800e9f30e1b0088e81011de1ad527bd6c71cc4df1c3a61412782868e87, 1536:F/qihoX/WXKG01KNw7XsCtGV+7h0klmLI2VOCjXUfJRk:Aiho+6ZKNw7sCQ4pmU2VOCbUfJRk,"550246.bin.TMP", Linux executable (ELF), 76738 bytes, -, -
2020-09-18, "bashlite elf gafgyt", "http://194.110.87.10/armv4l", fd02be2b30b5d641a342504890d42f50, 63a4766dd37f576dc17a9c94cea36beae8e3aea4, bef8661e04a7a2537a1227d22e7eae97a136f940071fab2f59558a7946201285, 3072:6jVlyaL5JCrIpv04sPbstiEiJmP46aQyfPluesNb:yoCJCN4sPb8YmP46aQyfPluesNb,"550325.bin.TMP", Linux executable (ELF), 129899 bytes, -, -
2020-09-18, "bashlite elf gafgyt", "http://194.110.87.10/armv5l", f0ce20028522aa9a4b124e5e403df399, 6b3fe9dc29c641464eb1331382b0d0757091159c, 2823ab6e29cb8e49b1b56953b2e7b110602e10e56abd41d89c5f251f5d81aada, 3072:4jDy/+mh1vtbPIKa5bEcUPium7/L7QsvmGugiNb:mOJ1vxfa5blYm7/L7QsvmGugiNb,"550373.bin.TMP", Linux executable (ELF), 125009 bytes, -, -
2020-09-18, "bashlite elf gafgyt", "http://194.110.87.10/armv6l", c1f4f9e920af14bee2c39ca31ff4aa8f, ac610ba9e5057e210be0e62da634b0b317057c63, bcfb4d2b3a09b37c616d436b644bd5f50dc26a12afb435222b0732c933280211, 3072:Cv/WwsLgaq353qHiCOvhOpPqbDQHbe1UkmhxQwoVZUNu:KPLaq351hOpPqbL1UkmhxQwoVZUNu,"550340.bin.TMP", Linux executable (ELF), 143020 bytes, -, -
2020-09-18, "bashlite elf gafgyt", "http://194.110.87.10/i586", 8832ab3f045aa9e8a3c11521805ec27b, a7c88250beb70c312d094daf73f5cf848817a192, 6bed1b646caa282e0e2d3442cbb8ebb10a060cb222f08189841ccb72e142491a, 3072:VK1z13U6HzHoXRtmTUhQogqqmmFVcqq0G27ZT:VK7DDeKlogqqmmFVcqq0G27ZT,"550424.bin.TMP", Linux executable (ELF), 100043 bytes, -, -
2020-09-18, "bashlite elf gafgyt", "http://194.110.87.10/i686", 6d75f56544d8e8f21a79413bacb059b4, 063fba729b3b652ecdf3558eb0fd765d88b8df2c, b2f7e5c38ccf78f1d04abc25ce5c1419300cd9d6f077059ac07edc4ddb016ffd, 3072:wW8FUmgujld6Mkxm6AJ+4f6FmmFVcqq0G27ZT:wJFv4Lm6AJ+4f6FmmFVcqq0G27ZT,"550329.bin.TMP", Linux executable (ELF), 104139 bytes, -, -
2020-09-18, "bashlite elf gafgyt", "http://194.110.87.10/m68k", 75ea99293887f6fb76bae87c431b2f96, 75547c641b90272de1509772bbcdeaa3e3c18745, c825895d6852891151e71783f0fc99d88620e48f0ddc6ca0d311d77242c89a4e, 3072:Ydg8GXIDvGIk1MG8+mjypvZXcmm/QcuLB126DNb:YuFX0GIk1MHyphsmm/QcuLB126DNb,"550507.bin.TMP", Linux executable (ELF), 118091 bytes, -, -
2020-09-18, "bashlite elf gafgyt", "http://194.110.87.10/mips", 10e2774e223583555c5241dac236c336, ef3c5dc0a1df966eeb2361c7ce037aa7431db6a5, 7dc3f0b54f16a70c113a565227beffe367951b537c05186b650c2d42af482cae, 3072:JW6BK9tS1aRG4dKP6h//CEH+mrThPaLEne7rNb:c64i6XCHmrThPaLEne7rNb,"550621.bin.TMP", Linux executable (ELF), 155429 bytes, -, -
2020-09-18, "bashlite elf gafgyt", "http://194.110.87.10/mipsel", bc595aca84e999c50adf26b6c632af2f, 14cb840748a9d517f79bd9a1516c34ecbc1833ee, b4e35ea4d5f8e3d02f651e8a131637c82467a99d44577b78b701dcec8ba28938, 3072:dctc9p13lnLU2PiXYqyCcFVyMVGuouTmrThPaLEne7rNb:d9XlnLU2PiIqyZFVRDouTmrThPaLEneN,"550563.bin.TMP", Linux executable (ELF), 155477 bytes, -, -
