# Generated 2020-09-19 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2020-09-19, "bashlite elf gafgyt", "http://2.57.122.214/s-h.4-.GHOUL", 208a38605f0f637b0cc0d6afffd03a71, d35885f87fccd94b6db3efc92fffbd49d2ffdd1e, 9fc89f5e2aa629fb00e989a3b8c949dd58654814e383a84fcd745508b627a430, 1536:WPM0nfJMKoe1tO8bfL0aiNa4Ck9Rx1uOmj9VqYLe8f26e:eHRToqbfIu439Rhmj9VqYq8f26e,"564369.bin.TMP", Linux executable (ELF), 80432 bytes, -, -
2020-09-19, "bashlite elf gafgyt", "http://2.57.122.214/x-3.2-.GHOUL", 92bdced9954f139ca6292c20a1bd4863, c406e660135459096f6bb0b2c49197c8bc688a64, 04af27e955dc65c0a92d343ed8a5cde2e033c7237322076ca1f2059eb967005e, 1536:xTqiVw//WXKG01KNw7XsCtGV+7TAQlmLI2VOCjXUfJRk:YiVw26ZKNw7sCQ6xmU2VOCbUfJRk,"564394.bin.TMP", Linux executable (ELF), 76738 bytes, -, -
2020-09-19, "bashlite elf gafgyt", "http://2.57.122.214/x-8.6-.GHOUL", b5a8865481f6648b0dbb92aaa680b31f, 0a83347f57819a975d8326910997bdb2afa3f10e, 2fa017e1d72344206051783b34595b711a81646e64875e36038b03dcbd61ec48, 1536:u7p8Y/JjzN1NOql/udP2OfR2lFhref3t5CpvCowmoIYuOVje+ZNne:AHtzN1kBdPlQlzrevt5lmrYuOVy+ZNne,"564409.bin.TMP", Linux executable (ELF), 88650 bytes, -, -
2020-09-19, "bashlite elf gafgyt", "http://45.95.168.215/skid.arm4", d0e361a1d92da3c49e80ff5c815cecb6, 09279e756a467e703bd6f66771c9c0310f087b7c, 7b4a149d47f422e79a4ecbdc9f07a08ee18efd014d92504cd03b001f647e7cc9, 3072:LnyR+AIOda5h3n8+K9MamDyrQRhJm4XnTe:LyR0Oda5h38+KhmDyrQRhJm4XnTe,"564367.bin.TMP", Linux executable (ELF), 107994 bytes, -, -
2020-09-19, "bashlite elf gafgyt", "http://45.95.168.215/skid.arm5", 65989eefc336e5df2ed015d2bd8c2282, 40098273bf50a98a50de216755388ac087182022, be5af456c7c5eccb2d6a1ea360a387d1defeb19306a99d0a5b019ea71d8621ef, 1536:hLdTFoz9NI8fKjWCHGFIpRuOkB5hjJK8Sa5ixmkxqQ7DJ/lJXfPe:cNrCLpu5hjJKrDxmkxqQ7DJ9JXfPe,"564395.bin.TMP", Linux executable (ELF), 100648 bytes, -, -
2020-09-19, "bashlite elf gafgyt", "http://45.95.168.215/skid.arm6", cf1305149aa2bed7e7de08634d967a88, 5b4b2cadcd0b1a92f67ab8a90708c522d56fbcb3, e80f2b833f05ee99f05f5c2276624ae5b6eca2dd0950ee4a03a06f17fafe7883, 3072:XwddaLkgNxexSYHTE5hy3K7S8bDbmrQNYTUXpTn:XcdaLkgyTE5hy3K7HbmrQNYTapTn,"564446.bin.TMP", Linux executable (ELF), 123064 bytes, -, -
2020-09-19, "bashlite elf gafgyt", "http://45.95.168.215/skid.mips", 1a0024c9d5055dcd3e7d3b551cf14d52, 9e173a43e9fc1cd1b8b21a5843d9ea6b4b71d99d, 3ffcadd58e10ed002e20c0fa43d9036b170db20645f0ccc10ccd0b6f55d80a34, 3072:dB8Z3IRlLOn7WH5h0mmpxmkbzF01xsRiAe:YZ4TaSH5h0mmpxmkbzF01xsRiAe,"564273.bin.TMP", Linux executable (ELF), 120751 bytes, -, -
2020-09-19, "bashlite elf gafgyt", "http://45.95.168.215/skid.mpsl", 50b0a5bf908694b3896b166882120d90, fb13744426334de756b38914b40b5745a8042125, 68c0143bcd3a39009a4240a112dcf3b66de185fda0a009a2f81590ad10acae61, 1536:Q2eT6P6AUM2KuMtZ/drRUPc+iycgLS85h4pKJUkbjxmkbzF01xCPRiAe:Q2PnuWwHiyca5h4pMxmkbzF01xsRiAe,"564311.bin.TMP", Linux executable (ELF), 120879 bytes, -, -
2020-09-19, "bashlite elf gafgyt", "http://45.95.168.215/skid.ppc", 28420816aadcb8455f8466abf014368b, d43e4cb09c8569fc2a8c7013a830e50c863975bd, 8b6729efc7b1a75b574cfaa043124eca15064cb1671aa2a7c888ab14f4147fdd, 1536:k3epPkwMhkHOLUfQw19FnRIfzSNdchGBT5hN72V9mVmVVD1jjoflee:kuGw+kHJfdRI7SIE5hNqV9mVmVVD1vov,"564402.bin.TMP", Linux executable (ELF), 94812 bytes, -, -
2020-09-19, "bashlite elf gafgyt", "http://45.95.168.215/skid.sparc", 873a74c704f1c0915d4dbab4754bc9c5, e05688db8654580d66afefa4e47efd8ec613bd7a, 92dd3e8dbf5ed30dbfcaa16fcdb4c91450352ae702cd22d4718b41b9e4e8925f, 1536:ehjZVq1NM5t/tPt2mjphajSeZofU9OvmVmFV/5j6ufeuTe:71N8DrphajSeZYDvmVmFV/5GufhTe,"564368.bin.TMP", Linux executable (ELF), 106946 bytes, -, -
2020-09-19, "bashlite elf gafgyt", "http://45.95.168.215/skid.x86", 3229b7e8801b669692f843342334e3c6, 6b33092ee9644d456a11c8fec11b1e746a96243d, 5c73003a7241229e975209263f9fbf316befde47ea52d66eb4a04db5358be940, 1536:t7N6TmoKyguDXaQvdC8G7RWHhop53iphaPcR0mo/5uJXhj5YZA0e:N3hmDXaQvk3EhopJiphaP9m85uJXhFYm,"564366.bin.TMP", Linux executable (ELF), 97800 bytes, -, -
