# Generated 2020-09-23 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2020-09-23, " 2020-0-23 Dridex", "https://m-pcp2020.apps-ph.com/nzqheoy.txt", c8ec2aee1e6b3b1aa46f5c6dcf9c7110, 3edc2c3cbd1cd08b5e34b21433e5658e81f99f0d, 11d6703c422ba5ff6cbc0f40c5099a283dfd70fed43d1265366a4919201c6ce0, 6144:OaM65wVpzY9WKgRP2Ba6k0UwLBlZtR7ynoOyzzR42eAgA:OffY0P2BfxjhOQe67,"605953.bin.TMP", Windows executable (MZ), 327680 bytes, rh:cb8e9c5b7960715adb8791c540f12ccd, mh:3c9b1d98d3c934fb360d5cd8bd771a67
2020-09-23, "elf gafgyt", "http://50.115.170.118/jackmyi686", 74ab789cb3bd97e488c806cf8c3be040, c7075026b810b2fbb9d79ea33a27d64e581059e1, fedb1f8649b77d1244ab8f3865c401813af7d9740472fcd4b51d8cc55b9c4b96, 3072:u9Pl1M4wMA+XvZilewSGOoKkTQ0QuqgxsKcX6GcgbqB:udAJR0WOoKC5QngxsKcXJcgbqB,"606106.bin.TMP", Linux executable (ELF), 104168 bytes, -, -
2020-09-23, "elf gafgyt", "http://50.115.170.118/jackmym86k", ab7d6c823a452f9217261e12bd05b0da, 6b97eae937e5e9235132c2975cf178aa1a6a2b6f, 94c57265d630e67d5d82315f9ae528c1a98966d6ed786fec9095a88a7a17490a, 3072:cAs3mEC1aWrG4GcA0GDH0yIkaHDmFpKQi7Gng8Sf:cro5hGcA0GwyIJDmFpKQiKng8Sf,"606117.bin.TMP", Linux executable (ELF), 122745 bytes, -, -
2020-09-23, "elf gafgyt", "http://50.115.170.118/jackmymips", 26ceffdf8ea853f6830cbda3e297b764, e701d313fc54edccaf51da5608b259412e041396, df8271bc6a8d0ff42a56b64ad6b6351940f22de36d4e2219c4b2b4d33268dc90, 3072:+tDqTkI5ufAjmpzIh9Of3bdfiNjqLw/i+IGf:sDeagmJI3WdfiNjqLwa+IGf,"606113.bin.TMP", Linux executable (ELF), 161740 bytes, -, -
2020-09-23, "elf gafgyt", "http://50.115.170.118/jackmymipsel", d520d9d70855e4bf98bdd7df6ccf9ffb, 6c79b3b320a435135e6811966e4e3d81b503822b, 1f134238e4162ec751a48e6192e3548c32070554f4aab3a4330991e3f846819e, 1536:wMfnQePlvVeTTt1+e02fPakpONyYQpjZ0jyG4JC1gkYIserm4Yttpdfi39KuqLw7:3HocNnQpj+KODrSpdfiNjqLw/i+IGf,"606111.bin.TMP", Linux executable (ELF), 161852 bytes, -, -
2020-09-23, "elf gafgyt", "http://50.115.170.118/jackmypowerpc", 595da5187c50c20ad9d7d7ecde679381, 977c252d41f7d5c63c8db60cf3db8ed81ae23216, 1231fdb22dab59c7ce487b0e313f129beefce112bb94b9b37931bb8e7aec66a7, 1536:c+JPZFtV55fptstzyxgChS29MiCJeQ56+e9oPL8Z6ELtPKQi+whg8Wf:jRntjv3MiCJo93Z6ApKQiVhg8Wf,"606118.bin.TMP", Linux executable (ELF), 124806 bytes, -, -
2020-09-23, "elf gafgyt", "http://50.115.170.118/jackmysh4", b872c2229a1442718b095005093ce020, 732cc636cadd2618ddfa7cd8da0fe836f0ccca45, 8c59fb5be023a9f0006e330142d27e1d41cc58978a5e4b588c83a5e1751e3479, 1536:uqk9X8zBPZAPpRZfQKt9OhKGk4kYqJkdoCde3dULg1FHLduKQ5QbGBg8TP:3SQ8ltw1k42+oz3d0iFrYKQ5uGBg8TP,"606104.bin.TMP", Linux executable (ELF), 112780 bytes, -, -
2020-09-23, "elf gafgyt", "http://50.115.170.118/jackmysparc", 2526c6628a9221f855004b54e6ae0982, c6226f9af7e74f11d3687fe917be693462705ddc, 9ce80318dfca59f59a42bc199d841342f84e720ffa5315d66e5b4c08a8d78258, 3072:zqnQnXz5BbfsoPnp/Q9rQU07ApSQ07GngQ5f:2QnH44q9sU07ApSQ0KngQ5f,"606120.bin.TMP", Linux executable (ELF), 137126 bytes, -, -
2020-09-23, "elf gafgyt", "http://50.115.170.118/jackmyx86", df552e414217b357d81b4a32d2e10b0e, 141895aef76806278092b4a593c93c0dddc35a37, 9a89faffe0f6a1cfc24055b8d42c78f0c8a810a730f8c1d676cd3248bf7d27b3, 3072:11ghY5p+KI3LIaeBXfaV+kC1gifNtiheAkfciNGmSLgf:LBIUamXiUj1lQeAkfciomSLgf,"606114.bin.TMP", Linux executable (ELF), 116835 bytes, -, -
2020-09-23, "elf gafgyt", "http://51.89.1.122/gaefds.arm6", ed59890c2a5362811fff3db7127a57a5, fe88037fffd7e9c6e8356560b1a1a4dede783a37, 50cf7c35a1ad27edce441c89f95fa254193a6e621bf5a72d03dffd2ae54cd5bf, 3072:eLfltud9pSeQoIf9dadaEVxbWr0vrYOlU45hwkqKOKnDJG9DCmy/QsYJ0Yj/:CGdaEVxbBlH5hwkqXSmy/QsYJ0Yj/,"606217.bin.TMP", Linux executable (ELF), 130434 bytes, -, -
2020-09-23, "elf gafgyt", "http://51.89.1.122/sdfza.m68k", 3f7b2bb9d2c3e77c4b3607fb428c0327, 95d2fa3ab1512b7846a5be22ce74e907fb5d2488, cf0c1cab2fecb61cc92d77fffc64e027e8ca4e903aa5dc9d6e092f53dc8c8a0e, 3072:cxsgCTG77KCZtbDUyMu1J3bB6QlnmFZ09DRAoQfgm:cxsggG77Ku6yMcJ3bB6QlnmFZ09DRAou,"606218.bin.TMP", Linux executable (ELF), 109365 bytes, -, -
