# Generated 2020-09-16 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2020-09-16, "bashlite elf gafgyt", "http://31.214.240.201/m68k", 315dd544a95aa465520772b9b6256b36, 4e66d639f385be4a9b0a1758072b759d9ff0e650, f68719eaec55997cc1ba718fcad1cf8892f682711eaedfba4f5692b6d47e914c, 3072:Ydg8GXIDvGIk1MG8+mjypvZvoamm/QcuLB1niDNb:YuFX0GIk1MHyphgamm/QcuLB1niDNb,"531777.bin.TMP", Linux executable (ELF), 118090 bytes, -, -
2020-09-16, "bashlite elf gafgyt", "http://31.214.240.201/mipsel", 75910f475f81c704d5f221aff390a53d, e5dc5f07ef654e859f274ae0ef3f882acbc0609a, ea5c402b17373c2cec36294b9ee3826f52059415e454a9498d68964db052afba, 3072:dgZc9h1jlnLA2PiXYeyCcSVNMVGuo9mrThPaLEnvPrNb:dd7lnLA2PiIeyZSVWDo9mrThPaLEnvP5,"531739.bin.TMP", Linux executable (ELF), 155476 bytes, -, -
2020-09-16, "bashlite elf gafgyt", "http://31.214.240.201/powerpc", bf96f994a2af837373d0289cf25a1320, 9bddb53a646282187a49dc17f6700027d807b857, 664317ea960fc4308e1fc2946064dc0f33e17236374395787dd720bd8725ead7, 3072:pC/4rdZHsXsZwwR9ENk5mm/QcuLmHniPNb:pCwrvHwsZwY9EOmm/QcuLmHniPNb,"531732.bin.TMP", Linux executable (ELF), 116786 bytes, -, -
2020-09-16, "bashlite elf gafgyt", "http://31.214.240.201/sparc", 3cc126b347bd3d762c894ec348bde926, ad205ddacea28239e110d4f5f6c815c83ed90366, 565c502c43340c2e6274997042d145ceb622ecdae9b0df25e5a1c4eaf4b9de15, 3072:wsrp9xV+GZTZepNPhj+e3fSqPbL7ymm/QMurB1nKGNb:SMQplVbamm/QMurB1nKGNb,"531735.bin.TMP", Linux executable (ELF), 129856 bytes, -, -
2020-09-16, "bashlite elf gafgyt", "http://31.214.240.201/x86", 5ff1ce5a08d08973dd8686c4ed35594c, 1be58d7f995deee74ed7eb4be2a6e7aed9f78aa0, c762d4c14031ccd543be31f2e2f27e91b80ce8ada016af93e9c36a483d1cf693, 3072:kiry859a2ADJf9wHYqbgFFo8+HeAi+TRCm7FnVqfJXFWbNb:T9a2aLqkrMNsm7FnVqfJXFWbNb,"531748.bin.TMP", Linux executable (ELF), 116503 bytes, -, -
2020-09-16, "ddos elf mirai", "http://185.172.111.196/bins//crsfi.arm6", f6d4c5664e6fcfab23f777e621bdb1ce, f0e26755a937b62e8d126e85df665dab559747ac, 478bdafe12bee98bbe5245ba492dafde7b9873f8f4fbad085e11b0ff02c9d761, 768:PdwEP1bRfpl0gQxYJoiK6bLporhFp3WY80yaaafZEyfq3U7U/5:P/P1lDQPihbLporh6HzTcm5,"535145.bin.TMP", Linux executable (ELF), 45592 bytes, -, -
2020-09-16, "doc emotet epoch1 heodo", "http://achuanchaolihai.cn/wp-admin/Documentation/PCvKn4YEhiTm/", 32fd3caa2d4df96bb2f7abd88fe66d97, c9812fe95e051eea327ce37dedb54f43cf323102, 237fd94bace02997d149162862c51429fa39ffb06261ada8083cf93c19476f43, 1536:LGGGGGGGGGG2xJLEt+LaaGGGGGGGGGGjLo9xiP2hCYey7dL6PhLtHrxM43atHtjV:ZrfrzOH98ipgJHD+3KvoEwTQ,"536719.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 175662 bytes, -, -
2020-09-16, "doc emotet epoch1 heodo", "http://alarab.com.my/wp-admin/INC/uu2UTcfQbcUaHOZXDD/", d6774c59aafa609caddd4c637d63281b, c817abfcd0702e12ad3e5d6924519ce9202b8bfe, dcc3ee11da81996e905f2f00e24483150c0c38eebcfa3d3a8019a6ba1a098b34, 1536:DGGGGGGGGGG2xJLEt+LaaGGGGGGGGGGjLo9xilqfqdFTaFVT/EA8s9p8cjMfmVSm:+rfrzOH98ipgLd58chk,"530854.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 199533 bytes, -, -
2020-09-16, "doc emotet epoch1 heodo", "http://associacaomda.org/erros/6K0T0EPG01AN9/cIBPr5kpWW/", 416590c4e8ae50c9f45aa2d6edd7be18, f9c68e35d0d09462907a11c3d2eda3440610d3a7, a0282e9a33ace033aee91281f8f0815fa68e5c4a6519323e612ff6b6242bb2e2, 1536:5GGGGGGGGGG2xJLEt+LaaGGGGGGGGGGjLo9xilWfm9ITmDST/Ephs7p8cEpY/d8o:M8rfrzOH98ipgDLTbZ,"533251.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 192820 bytes, -, -
2020-09-16, "doc emotet epoch1 heodo", "http://barber.joeyrigon.com/qap51w3/OCT/CL20o19tea/", ce066b1b02880b8399d6d172e01cf55b, b2c41a8cc8d1abfdf33f0e42637192ad4c9a4b6f, 666d05098b345bb5374001d7c7c2ad8c368a9116dd1baec9fea6372eed063195, 1536:DGGGGGGGGGG2xJLEt+LaaGGGGGGGGGGjLo9xilqfqdFTaFVT/EA8s9p8cjMfmVSZ:+rfrzOH98ipgUd58c9s,"529656.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 199476 bytes, -, -
