# Generated 2020-05-06 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2020-05-06, "elf mirai", "http://193.38.51.210/lmaoWTF/loligang.mpsl", c81d5668e6ec88f9f2379da5da9dcac8, 632565122e18860f712417dc8c052f2472436591, a2d410caccc755fbb3f8b64dcbd34b2ab340579e39fc3615798d66e6e65fd620, 1536:NYCYxrXP40ODyPwHRQ9PlzTRfyToNoZqhi:qCYxrKDy46Nu,"358504.bin.TMP", Linux executable (ELF), 92100 bytes, -, -
2020-05-06, "elf mirai", "http://193.38.51.210/lmaoWTF/loligang.ppc", d86a1c6edc8917fef281230184a9ffe7, 50272ede4b75c9218e9557086bc92142467aea70, 47f93d5893bdf8f22ab76c47649a85240aea5d3ff71ab59c4004df93e250b721, 768:Sr5Eg6nb5usRVQq8WTUqYhcBJcIGsllk5M9Bv6GG4TlW2c5sjgi+DDiZ/vYBbsVf:2KbpuqJlzk5xGpJgbDOZ/vYuN,"358552.bin.TMP", Linux executable (ELF), 66468 bytes, -, -
2020-05-06, "elf mirai", "http://193.38.51.210/lmaoWTF/loligang.sh4", 820a8675e367831f81603f0afb33de73, d45208521815cb6b3a4ab2de03b331dc6e1890df, 686fb85230870d7282edebad427dc102191320c1afd421fb64b82058265bd796, 1536:K/ue90IlCalyZyuhx+vACs2U/SO/Sfs3zO/QSwtPlCX+i:KGejAGyZyuhxaU/Sjf+iYdtPlw,"358506.bin.TMP", Linux executable (ELF), 66368 bytes, -, -
2020-05-06, "elf mirai", "http://193.38.51.210/lmaoWTF/loligang.spc", 5c6febfd7f583f485bd25911d9e47986, 4e4598e9e2e15c950b1f5a7bf2b87366161e8ca9, 2ea1231447e1213063ae35d6f9e29b8896e0ce9c24e1f8502efb1e3bd6ddac41, 1536:vsnCSemCLLWeKNJ+1kbOSYcpC636v/bcYSZkFFi:rS1+SYccv/gpKi,"358509.bin.TMP", Linux executable (ELF), 75388 bytes, -, -
2020-05-06, "elf mirai", "http://37.49.226.231/luoqxbocmkxnexy/tbox.arc", 47a1e366b86fffc1545d1b98a19a44b9, 35e5a470baad3db02afc7845ba445e7b74f49098, 8eb2447511e232b75a27fbb11543f3d1c012163e3f7a84d1c27493ad8c09bd51, 768:QpEakfFTFyoJmA5zZRZCxqLLtR5kUurrs/7XH:AEFTJ/RZHCx2tR+U6I,"358731.bin.TMP", Linux executable (ELF), 42440 bytes, -, -
2020-05-06, "elf mirai", "http://37.49.226.231/luoqxbocmkxnexy/tbox.arm", 8eda2f2b0b4b8564905028e10cadcc4a, 34149b367ecbc441f947291783f8229bf7852950, 11f524c3da87960d424604be7da2cb496005579bbd0bf9239de45ff0859b6718, 1536:fIECQpPYugMG9Xmyj47+nrZJ/i5FXhtNnK:wSpPqJWL0NdeFXhtN,"358732.bin.TMP", Linux executable (ELF), 62684 bytes, -, -
2020-05-06, "elf mirai", "http://37.49.226.231/luoqxbocmkxnexy/tbox.arm5", 9d9323c942b71627b49fbf0bca3162cd, 8174524fa7fc4f40103434f66bf6c1c0b786ba1b, a29876969402d35a9be396b3d407aa2a0622a8fddc43b23ed563b7a3edb7ae94, 3072:zNaEWTkT3H8a5kLSUMnro+Xhe3V75HLX0:zNaErj8a5kLShnnXhe3V75HLX0,"358733.bin.TMP", Linux executable (ELF), 126687 bytes, -, -
2020-05-06, "elf mirai", "http://37.49.226.231/luoqxbocmkxnexy/tbox.arm6", ea85843c49ba39fe7637876cecd792aa, 492e800f46cbce189830876efe0a067195ad5396, bc39c3571324e85992186d5d8e38450a6ea470939fac5dd001a189c3bf22c260, 3072:zNaEWTkT3H8a5kLSUMnro+X4qpxV5HLX0:zNaErj8a5kLShnnX4qpxV5HLX0,"358734.bin.TMP", Linux executable (ELF), 126687 bytes, -, -
2020-05-06, "elf mirai", "http://37.49.226.231/luoqxbocmkxnexy/tbox.arm7", c9874813690dd0fcdd8945d0997c1ec6, c68ccc9c8c51fcf008934a768100a0df74b8a2bc, a28dedcf1f1b4c44580725653191d3c752cdfac00ec5b545e21f1bfa1951c565, 3072:XdNspLOSiUfNS+aitqMQXRi8DX5eC4M/9ed/0:XdNChZfNS+aitqMyR3DXSM/9ed/0,"358735.bin.TMP", Linux executable (ELF), 128179 bytes, -, -
2020-05-06, "elf mirai", "http://37.49.226.231/luoqxbocmkxnexy/tbox.m68k", 18987332aac19d31e4a7585b61fd1d8d, 613ca46fdd361b98810e11b160cd1d2f3b7fb046, 61d1da4f1c04b1d14c24c685966b47478afee467a00bcb1d9663c41bcb3c2516, 1536:8lpBPAPZ82fqUy6oQeuacWjcW0JcWcBJuRxXUp3z0psQ87BAeEm:8lppT2XoQeuacWjcW0JcWcBwRxXUapWd,"358736.bin.TMP", Linux executable (ELF), 70308 bytes, -, -
